,l1_usize,l1_ubsize,l1_usbsize,l1_uassoc,demand_fetches_total,demand_fetches_instrn,demand_fetches_data,demand_fetches_read,demand_fetches_write,demand_fetches_misc,fraction_total,fraction_instrn,fraction_data,fraction_read,fraction_write,fraction_misc,demand_misses_total,demand_misses_instrn,demand_misses_data,demand_misses_read,demand_misses_write,demand_misses_misc,demand_miss_rate_total,miss_rate_instrn,miss_rate_data,miss_rate_read,miss_rate_write,miss_rate_misc,bytes_from_memory,bytes_to_memory,total_bytes_rw_mem
0,16384,8,8,1,1026587,559159,467428,288238,179190,0,1.0,0.5447,0.4553,0.2808,0.1745,0.0,130643,75446,55197,36101,19096,0,0.1273,0.1349,0.1181,0.1252,0.1066,0.0,1045144,255992,1301136
0,16384,8,8,2,1026587,559159,467428,288238,179190,0,1.0,0.5447,0.4553,0.2808,0.1745,0.0,109252,61211,48041,30419,17622,0,0.1064,0.1095,0.1028,0.1055,0.0983,0.0,874016,228056,1102072
0,16384,8,8,4,1026587,559159,467428,288238,179190,0,1.0,0.5447,0.4553,0.2808,0.1745,0.0,99790,56369,43421,27374,16047,0,0.0972,0.1008,0.0929,0.095,0.0896,0.0,798320,208224,1006544
0,16384,16,16,1,1026587,559159,467428,288238,179190,0,1.0,0.5447,0.4553,0.2808,0.1745,0.0,96176,51883,44293,30955,13338,0,0.0937,0.0928,0.0948,0.1074,0.0744,0.0,1538816,413664,1952480
0,16384,16,16,2,1026587,559159,467428,288238,179190,0,1.0,0.5447,0.4553,0.2808,0.1745,0.0,79713,41766,37947,25819,12128,0,0.0776,0.0747,0.0812,0.0896,0.0677,0.0,1275408,367856,1643264
0,16384,16,16,4,1026587,559159,467428,288238,179190,0,1.0,0.5447,0.4553,0.2808,0.1745,0.0,72590,38646,33944,22789,11155,0,0.0707,0.0691,0.0726,0.0791,0.0623,0.0,1161440,333232,1494672
0,16384,32,32,1,1026587,559159,467428,288238,179190,0,1.0,0.5447,0.4553,0.2808,0.1745,0.0,77003,37503,39500,29426,10074,0,0.075,0.0671,0.0845,0.1021,0.0562,0.0,2464096,753792,3217888
0,16384,32,32,2,1026587,559159,467428,288238,179190,0,1.0,0.5447,0.4553,0.2808,0.1745,0.0,62424,29561,32863,23870,8993,0,0.0608,0.0529,0.0703,0.0828,0.0502,0.0,1997568,650272,2647840
0,16384,32,32,4,1026587,559159,467428,288238,179190,0,1.0,0.5447,0.4553,0.2808,0.1745,0.0,57108,27774,29334,21007,8327,0,0.0556,0.0497,0.0628,0.0729,0.0465,0.0,1827456,586336,2413792
